,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
13,0.168,0.457,1,-7.361,1,0.0375,0.972,1.33e-06,0.18,0.202,86.749,audio_features,7bETs6oajlWYVo9ycX74Vp,spotify:track:7bETs6oajlWYVo9ycX74Vp,https://api.spotify.com/v1/tracks/7bETs6oajlWYVo9ycX74Vp,https://api.spotify.com/v1/audio-analysis/7bETs6oajlWYVo9ycX74Vp,209627,3
14,0.695,0.582,11,-9.567,0,0.0381,0.687,0.00914,0.178,0.817,118.88,audio_features,0onHzLoj8yQbjbHtJzwjBx,spotify:track:0onHzLoj8yQbjbHtJzwjBx,https://api.spotify.com/v1/tracks/0onHzLoj8yQbjbHtJzwjBx,https://api.spotify.com/v1/audio-analysis/0onHzLoj8yQbjbHtJzwjBx,127267,4
15,0.191,0.215,7,-15.951,1,0.0434,0.745,2.49e-05,0.133,0.173,174.051,audio_features,0D1LMx0zya1EXlj4F9l6Mg,spotify:track:0D1LMx0zya1EXlj4F9l6Mg,https://api.spotify.com/v1/tracks/0D1LMx0zya1EXlj4F9l6Mg,https://api.spotify.com/v1/audio-analysis/0D1LMx0zya1EXlj4F9l6Mg,172867,4
16,0.527,0.633,10,-8.56,0,0.114,0.826,0.0,0.422,0.961,183.174,audio_features,3GVyT9fBXuEkGs1STo2WHZ,spotify:track:3GVyT9fBXuEkGs1STo2WHZ,https://api.spotify.com/v1/tracks/3GVyT9fBXuEkGs1STo2WHZ,https://api.spotify.com/v1/audio-analysis/3GVyT9fBXuEkGs1STo2WHZ,116933,4
17,0.235,0.222,6,-13.28,1,0.0302,0.974,0.00109,0.255,0.227,84.846,audio_features,4EcmCSEL77iVCdhylq0yG2,spotify:track:4EcmCSEL77iVCdhylq0yG2,https://api.spotify.com/v1/tracks/4EcmCSEL77iVCdhylq0yG2,https://api.spotify.com/v1/audio-analysis/4EcmCSEL77iVCdhylq0yG2,177333,3
18,0.41,0.168,5,-14.168,0,0.0344,0.891,1.27e-05,0.131,0.358,74.131,audio_features,6V5kMW3vhcduEgFp5TPYsG,spotify:track:6V5kMW3vhcduEgFp5TPYsG,https://api.spotify.com/v1/tracks/6V5kMW3vhcduEgFp5TPYsG,https://api.spotify.com/v1/audio-analysis/6V5kMW3vhcduEgFp5TPYsG,195973,4
19,0.343,0.096,8,-14.694,1,0.0379,0.963,0.0,0.24,0.195,78.666,audio_features,4cyPBIYP1z47ZIdT7fgDxu,spotify:track:4cyPBIYP1z47ZIdT7fgDxu,https://api.spotify.com/v1/tracks/4cyPBIYP1z47ZIdT7fgDxu,https://api.spotify.com/v1/audio-analysis/4cyPBIYP1z47ZIdT7fgDxu,168507,4
20,0.479,0.0952,0,-15.5,1,0.0274,0.849,0.0,0.657,0.35,69.784,audio_features,4wnFpRgQu2gLN8d76dYOGr,spotify:track:4wnFpRgQu2gLN8d76dYOGr,https://api.spotify.com/v1/tracks/4wnFpRgQu2gLN8d76dYOGr,https://api.spotify.com/v1/audio-analysis/4wnFpRgQu2gLN8d76dYOGr,181693,4
21,0.457,0.25,7,-11.8,1,0.0361,0.915,0.0,0.411,0.381,141.716,audio_features,2FlDxXrsYrza7Mk98NCSIo,spotify:track:2FlDxXrsYrza7Mk98NCSIo,https://api.spotify.com/v1/tracks/2FlDxXrsYrza7Mk98NCSIo,https://api.spotify.com/v1/audio-analysis/2FlDxXrsYrza7Mk98NCSIo,189667,4
22,0.479,0.151,2,-22.707,1,0.0345,0.856,0.856,0.11,0.556,118.902,audio_features,5eOP7g5BLBpmksOeoFn77Y,spotify:track:5eOP7g5BLBpmksOeoFn77Y,https://api.spotify.com/v1/tracks/5eOP7g5BLBpmksOeoFn77Y,https://api.spotify.com/v1/audio-analysis/5eOP7g5BLBpmksOeoFn77Y,184000,4
23,0.177,0.279,9,-10.951,0,0.0312,0.8,0.0024,0.153,0.155,82.967,audio_features,0mRAY4VhmgEsBvLEFxB6Vm,spotify:track:0mRAY4VhmgEsBvLEFxB6Vm,https://api.spotify.com/v1/tracks/0mRAY4VhmgEsBvLEFxB6Vm,https://api.spotify.com/v1/audio-analysis/0mRAY4VhmgEsBvLEFxB6Vm,193373,3
24,0.498,0.812,4,-8.018,1,0.0319,0.743,0.711,0.101,0.834,99.406,audio_features,2CFMsXx3SRAetoYdtEZNgg,spotify:track:2CFMsXx3SRAetoYdtEZNgg,https://api.spotify.com/v1/tracks/2CFMsXx3SRAetoYdtEZNgg,https://api.spotify.com/v1/audio-analysis/2CFMsXx3SRAetoYdtEZNgg,172613,4
