,date
551,1979
552,1979
553,1979
554,1979
555,1979
556,1979
557,1979
558,1979
559,1979
560,1979
561,1979
562,1979
563,1979
564,1979
565,1979
566,1979
567,1979
568,1979
569,1979
570,1979
571,1979
572,1979
573,1980
574,1980
575,1980
576,1980
577,1980
578,1980
579,1980
580,1980
581,1980
582,1980
583,1980
584,1980
585,1980
586,1980
587,1980
588,1980
589,1981
590,1981
591,1981
592,1981
593,1981
594,1981
595,1981
596,1981
597,1981
598,1981
599,1981
600,1981
601,1981
602,1981
603,1981
604,1981
605,1982
606,1982
607,1982
608,1982
609,1982
610,1982
611,1982
612,1982
613,1982
614,1982
615,1982
616,1982
617,1982
618,1982
619,1982
620,1983
621,1983
622,1983
623,1983
624,1983
625,1983
626,1983
627,1983
628,1983
629,1983
630,1983
631,1983
632,1983
633,1983
634,1983
635,1983
636,1984
637,1984
638,1984
639,1984
640,1984
641,1984
642,1984
643,1984
644,1984
645,1984
646,1984
647,1984
648,1984
649,1984
650,1984
651,1984
652,1984
653,1984
654,1984
655,1985
656,1985
657,1985
658,1985
659,1985
660,1985
661,1985
662,1985
663,1985
664,1985
665,1985
666,1985
667,1985
668,1985
669,1985
670,1985
671,1985
672,1985
673,1985
674,1985
675,1985
676,1985
677,1985
678,1985
679,1985
680,1985
681,1986
682,1986
683,1986
684,1986
685,1986
686,1986
687,1986
688,1986
689,1986
690,1986
691,1986
692,1986
693,1986
694,1986
695,1986
696,1986
697,1986
698,1986
699,1986
700,1986
701,1986
702,1986
703,1986
704,1986
705,1986
706,1986
707,1986
708,1986
709,1986
710,1986
711,1987
712,1987
713,1987
714,1987
715,1987
716,1987
717,1987
718,1987
719,1987
720,1987
721,1987
722,1987
723,1987
724,1987
725,1987
726,1987
727,1987
728,1987
729,1987
730,1987
731,1987
732,1987
733,1987
734,1987
735,1987
736,1987
737,1987
738,1987
739,1987
740,1988
741,1988
742,1988
743,1988
744,1988
745,1988
746,1988
747,1988
748,1988
749,1988
750,1988
751,1988
752,1988
753,1988
754,1988
755,1988
756,1988
757,1988
758,1988
759,1988
760,1988
761,1988
762,1988
763,1988
764,1988
765,1988
766,1988
767,1988
768,1988
769,1988
770,1988
771,1988
772,1989
773,1989
774,1989
775,1989
776,1989
777,1989
778,1989
779,1989
780,1989
781,1989
782,1989
783,1989
784,1989
785,1989
786,1989
787,1989
788,1989
789,1989
790,1989
791,1989
792,1989
793,1989
794,1989
795,1989
796,1989
797,1989
798,1989
799,1989
800,1989
801,1989
802,1989
803,1989
804,1990
805,1990
806,1990
807,1990
808,1990
809,1990
810,1990
811,1990
812,1990
813,1990
814,1990
815,1990
816,1990
817,1990
818,1990
819,1990
820,1990
821,1990
822,1990
823,1990
824,1990
825,1990
826,1990
827,1990
828,1990
829,1991
830,1991
831,1991
832,1991
833,1991
834,1991
835,1991
836,1991
837,1991
838,1991
839,1991
840,1991
841,1991
842,1991
843,1991
844,1991
845,1991
846,1991
847,1991
848,1991
849,1991
850,1991
851,1991
852,1991
853,1991
854,1991
855,1991
856,1992
857,1992
858,1992
859,1992
860,1992
861,1992
862,1992
863,1992
864,1992
865,1992
866,1992
867,1992
868,1993
869,1993
870,1993
871,1993
872,1993
873,1993
874,1993
875,1993
876,1993
877,1993
878,1994
879,1994
880,1994
881,1994
882,1994
883,1994
884,1994
885,1994
886,1994
887,1995
888,1995
889,1995
890,1995
891,1995
892,1995
893,1995
894,1995
895,1995
896,1995
897,1995
898,1996
899,1996
900,1996
901,1996
902,1996
903,1996
904,1996
905,1996
906,1997
907,1997
908,1997
909,1997
910,1997
911,1997
912,1997
913,1997
914,1997
915,1998
916,1998
917,1998
918,1998
919,1998
920,1998
921,1998
922,1998
923,1998
924,1998
925,1998
926,1998
927,1998
928,1998
929,1998
930,1999
931,1999
932,1999
933,1999
934,1999
935,1999
936,1999
937,1999
938,1999
939,1999
940,1999
941,1999
942,1999
943,1999
944,2000
945,2000
946,2000
947,2000
948,2000
949,2000
950,2000
951,2000
952,2000
953,2000
954,2000
955,2000
956,2000
957,2000
958,2000
959,2000
960,2000
961,2001
962,2001
963,2001
964,2001
965,2001
966,2001
967,2001
968,2001
969,2001
970,2001
971,2001
972,2001
973,2001
974,2001
975,2002
976,2002
977,2002
978,2002
979,2002
980,2002
981,2002
982,2003
983,2003
984,2003
985,2003
986,2003
987,2003
988,2003
989,2003
990,2003
991,2003
992,2003
993,2004
994,2004
995,2004
996,2004
997,2004
998,2004
999,2004
1000,2004
1001,2004
1002,2004
1003,2004
1004,2005
1005,2005
1006,2005
1007,2005
1008,2005
1009,2005
1010,2005
1011,2005
1012,2006
1013,2006
1014,2006
1015,2006
1016,2006
1017,2006
1018,2006
1019,2006
1020,2006
1021,2006
1022,2006
1023,2006
1024,2006
1025,2006
1026,2006
1027,2006
1028,2006
1029,2006
1030,2007
1031,2007
1032,2007
1033,2007
1034,2007
1035,2007
1036,2007
1037,2007
1038,2007
1039,2007
1040,2007
1041,2007
1042,2007
1043,2007
1044,2007
1045,2007
1046,2007
1047,2008
1048,2008
1049,2008
1050,2008
1051,2008
1052,2008
1053,2008
1054,2008
1055,2008
1056,2008
1057,2008
1058,2008
1059,2008
1060,2008
1061,2009
1062,2009
1063,2009
1064,2009
1065,2009
1066,2009
1067,2009
1068,2009
1069,2009
1070,2009
1071,2009
1072,2009
1073,2010
1074,2010
1075,2010
1076,2010
1077,2010
1078,2010
1079,2010
1080,2010
1081,2010
1082,2010
1083,2010
1084,2010
1085,2010
1086,2010
1087,2010
1088,2010
1089,2010
1090,2011
1091,2011
1092,2011
1093,2011
1094,2011
1095,2011
1096,2011
1097,2011
1098,2011
1099,2011
1100,2011
1101,2011
1102,2011
1103,2012
1104,2012
1105,2012
1106,2012
1107,2012
1108,2012
1109,2012
1110,2012
