,artist,song,decade,track_id,preview_url,track_name,artist_name,artist_id,genres
28,Johnny Standley,It's In The Book (parts 1 & 2),1950,67HAs4WdVmQl4H8AvMDCVB,https://p.scdn.co/mp3-preview/04221457f0ae3945a2a025655ec099ecc4c40991?cid=b05f690e17ba4b758d92a214cfbc7f24,Rock & Roll Must Go (It's in the Book),Johnny Standley,2joTlkHhWGH5fTEztQ6nWL,['deep adult standards']
29,Joni James,Why Don't You Believe Me,1950,4DD6qTLKWCVZl5fAZDVWOo,https://p.scdn.co/mp3-preview/d49c283641ae27a65097a91d161ffb3adb2410d5?cid=b05f690e17ba4b758d92a214cfbc7f24,Why Don't You Believe Me,Joni James,0hiq5HixjjN3gtSXLZmnBw,"['adult standards', 'deep adult standards', 'easy listening']"
30,Jimmy Boyd,I Saw Mommy Kissing Santa Claus,1950,15sxLiiChE5dCW3Y756oas,https://audio-ssl.itunes.apple.com/itunes-assets/Music/a2/91/f5/mzm.wakiozvz.aac.p.m4a,I Saw Mommy Kissing Santa Claus,Jimmy Boyd,0kJqBwZ3YBkEJNRcUC1ewZ,holiday
31,Perry Como,Don't Let the Stars Get in Your Eyes,1950,2cwTVrrgHxl4gcHY4IHr18,https://p.scdn.co/mp3-preview/60934fb9e19855eedb64c9e9a12e17efbba2de27?cid=b05f690e17ba4b758d92a214cfbc7f24,Don't Let The Stars Get In Your Eyes,Perry Como,5v8jlSmAQfrkTjAlpUfWtu,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'vocal jazz']"
32,Teresa Brewer,Till I Waltz Again With You,1950,0as1riy7crAcnNYnWaxEub,https://p.scdn.co/mp3-preview/10466a5a8fca0dbb647cc5e8d454441f61b9945a?cid=b05f690e17ba4b758d92a214cfbc7f24,Till I Waltz Again with You,Teresa Brewer,2mPL4g4v9DS55zi6QctLbP,"['adult standards', 'deep adult standards']"
33,Patti Page,The Doggie In The Window,1950,7bs4wDnaX0z7BTeM6lTcYA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/bb/75/3d/bb753d87-cab1-fd7e-46f9-3745f9bb536b/mzaf_4259114076385496514.plus.aac.p.m4a,(How Much Is That) Doggie In The Window,Patti Page,4nZN9kln8toEzOifhWG2uF,country
34,Percy Faith,The Song From Moulin Rouge (Where Is Your Heart),1950,6u4RHQpFXlz5iq4Hm0XyrY,https://p.scdn.co/mp3-preview/5b964a150d901690990b730820e32032b7606e47?cid=b05f690e17ba4b758d92a214cfbc7f24,The Song from Moulin Rouge (Where Is Your Heart),Percy Faith,6unIK8JFrGemCge3NIUDKE,"['adult standards', 'ballroom', 'easy listening', 'lounge']"
35,Eddie Fisher,I'm Walking Behind You,1950,2FqOLG4ViICqhx35v8xoBx,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview118/v4/df/55/49/df554925-dc20-0e96-b575-ff42e4bf2f76/mzaf_814884652649923221.plus.aac.p.m4a,I'm Walking Behind You,Eddie Fisher,6bHSJldq5J4lYowHOm9OOX,"['adult standards', 'deep adult standards', 'easy listening', 'lounge']"
36,Les Paul,Vaya Con Dios (May God Be With You),1950,3qhxI5f7klTVfK0iWYmKdM,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview71/v4/ed/dd/66/eddd665f-5db5-0c1d-d16f-6773bee42437/mzaf_1529632316580140204.plus.aac.p.m4a,Vaya Con Dios,Les Paul,2hkZGvBotqZ7uBBUnBwmLC,country
37,Stan Freberg,St. George And The Dragonet,1950,3q7cXyhLWyYgf5uxZPW9w2,https://p.scdn.co/mp3-preview/cdf5285dcb4f2b4dfa30ba2beaf0010af941f4f0?cid=b05f690e17ba4b758d92a214cfbc7f24,St. George and the Dragon,Stan Freberg,31wLmtRSwO4f50DFG8zv4s,"['comic', 'parody']"
38,Tony Bennett,Rags To Riches,1950,3eNieNIpOWOAUr0f50DCqL,https://p.scdn.co/mp3-preview/3b377b4068dfe646a0b38d6d5e296b69ec522ca9?cid=b05f690e17ba4b758d92a214cfbc7f24,Rags to Riches (with Romeo Santos),Tony Bennett,2lolQgalUvZDfp5vvVtTYV,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
39,Eddie Fisher,Oh! My Pa-pa (O Mein Papa),1950,0EIEvpiVxoXEn5GZWvG1RT,https://p.scdn.co/mp3-preview/5b62233a28424cba0c1db66be2a9de086ec8139a?cid=b05f690e17ba4b758d92a214cfbc7f24,Oh! My Pa-Pa (O Mein Papa) - 2001 Remastered,Eddie Fisher,6bHSJldq5J4lYowHOm9OOX,"['adult standards', 'deep adult standards', 'easy listening', 'lounge']"
