,Date,Artist,Song
179,"October 16, 1976",Rick Dees and His Cast of Idiots,Disco Duck
180,"October 23, 1976",Chicago,If You Leave Me Now
181,"November 6, 1976",Steve Miller Band,Rock'n Me
182,"November 13, 1976",Rod Stewart,Tonight's the Night (Gonna Be Alright)
183,"January 8, 1977",Marilyn McCoo,You Don't Have to Be a Star (To Be in My Show)
184,"January 15, 1977",Leo Sayer,You Make Me Feel Like Dancing
185,"January 22, 1977",Stevie Wonder,I Wish
186,"January 29, 1977",Rose Royce,Car Wash
187,"February 5, 1977",Mary MacGregor,Torn Between Two Lovers
188,"February 19, 1977",Manfred Mann's Earth Band,Blinded by the Light
189,"February 26, 1977",Eagles,New Kid in Town
190,"March 5, 1977",Barbra Streisand,
191,"March 26, 1977",Daryl Hall and John Oates,Rich Girl
192,"April 9, 1977",ABBA,Dancing Queen
193,"April 16, 1977",David Soul,Don't Give Up on Us
194,"April 23, 1977",Thelma Houston,Don't Leave Me This Way
195,"April 30, 1977",Glen Campbell,Southern Nights
196,"May 7, 1977",Eagles,Hotel California
197,"May 14, 1977",Leo Sayer,When I Need You
198,"May 21, 1977",Stevie Wonder,Sir Duke
199,"June 11, 1977",KC and the Sunshine Band,I'm Your Boogie Man
200,"June 18, 1977",Fleetwood Mac,Dreams
201,"June 25, 1977",Marvin Gaye,Got to Give It Up (Part 1)
202,"July 2, 1977",Bill Conti,
203,"July 9, 1977",Alan O'Day,Undercover Angel
204,"July 16, 1977",Shaun Cassidy,Da Doo Ron Ron
205,"July 23, 1977",Barry Manilow,Looks Like We Made It
206,"July 30, 1977",Andy Gibb,I Just Want to Be Your Everything
207,"August 20, 1977",The Emotions,Best of My Love
208,"October 1, 1977",Meco,Star Wars Theme/Cantina Band
209,"October 15, 1977",Debby Boone,You Light Up My Life
210,"December 24, 1977",Bee Gees,How Deep Is Your Love
211,"January 14, 1978",Player,Baby Come Back
212,"February 4, 1978",Bee Gees,Stayin' Alive
213,"March 4, 1978",Andy Gibb,(Love Is) Thicker Than Water
214,"March 18, 1978",Bee Gees,Night Fever
215,"May 13, 1978",Yvonne Elliman,If I Can't Have You
216,"May 20, 1978",Wings,With a Little Luck
217,"June 3, 1978",Johnny Mathis,"Too Much, Too Little, Too Late"
218,"June 10, 1978",John Travolta,You're the One That I Want
219,"June 17, 1978",Andy Gibb,Shadow Dancing
220,"August 5, 1978",The Rolling Stones,Miss You
221,"August 12, 1978",Commodores,Three Times a Lady
222,"August 26, 1978",Frankie Valli,Grease
223,"September 9, 1978",A Taste of Honey,Boogie Oogie Oogie
224,"September 30, 1978",Exile,Kiss You All Over
225,"October 28, 1978",Nick Gilder,Hot Child in the City
226,"November 4, 1978",Anne Murray,You Needed Me
227,"November 11, 1978",Donna Summer,MacArthur Park
228,"December 2, 1978",Barbra Streisand and Neil Diamond,You Don't Bring Me Flowers
229,"December 9, 1978",Chic,Le Freak
230,"January 6, 1979",Bee Gees,Too Much Heaven
231,"February 10, 1979",Rod Stewart,Da Ya Think I'm Sexy?
232,"March 10, 1979",Gloria Gaynor,I Will Survive
233,"March 24, 1979",Bee Gees,Tragedy
234,"April 14, 1979",The Doobie Brothers,What a Fool Believes
235,"April 21, 1979",Amii Stewart,Knock on Wood
236,"April 28, 1979",Blondie,Heart of Glass
237,"May 5, 1979",Peaches & Herb,Reunited
238,"June 2, 1979",Donna Summer,Hot Stuff
239,"June 9, 1979",Bee Gees,Love You Inside Out
240,"June 30, 1979",Anita Ward,Ring My Bell
241,"July 14, 1979",Donna Summer,Bad Girls
242,"August 18, 1979",Chic,Good Times
243,"August 25, 1979",The Knack,My Sharona
244,"October 6, 1979",Robert John,Sad Eyes
245,"October 13, 1979",Michael Jackson,Don't Stop 'til You Get Enough
246,"October 20, 1979",Herb Alpert,Rise
247,"November 3, 1979",M,Pop Muzik
248,"November 10, 1979",Eagles,Heartache Tonight
249,"November 17, 1979",Commodores,Still
250,"November 24, 1979",Barbra Streisand and Donna Summer,No More Tears (Enough Is Enough)
251,"December 8, 1979",Styx,Babe
252,"December 22, 1979",Rupert Holmes,Escape (The Piña Colada Song)
